PRODUCT_ID,PRODUCT_SKU,PRODUCT_TITLE,PRODUCT_MODEL,PRODUCT_BATCH,PRODUCT_BASEUNIT,PRODUCT_PRICE,PRODUCT_VATRATE,PRODUCT_TYPE,PRODUCT_CATEGORY,PRODUCT_MANUFACTURER,PRODUCT_WEIGHT,PRODUCT_HEIGHT,PRODUCT_LENGTH,PRODUCT_WIDTH,PRODUCT_NAME,PRODUCT_COMPANY,PRODUCT_UPC,PRODUCT_EAN,PRODUCT_JAN,PRODUCT_ISBN,PRODUCT_MPN,PRODUCT_ENABLED
1,SKU001,Feature phone,O2 Cocoon,440,17,55.75,10.00,2,4,1,11.0,1.0,2.0,2.0,Feature phone/O2 Cocoon,1,UPC001,EAN001,JAN001,ISBN001,MPN001,TRUE
2,SKU002,Android Phone,LG Stylo 6,4663,17,89.99,15.00,1,4,2,12.5,2.0,3.0,2.5,Android Phone/LG Stylo 6,1,UPC002,EAN002,JAN002,ISBN002,MPN002,FALSE
3,SKU003,Android Phone,Samsung Galaxy S9,5001,17,799.99,18.00,1,4,3,8.5,2.7,3.5,2.1,Android Phone/Samsung Galaxy S9,2,UPC003,EAN003,JAN003,ISBN003,MPN003,TRUE
4,SKU004,Android Phone,Xiaomi Mi 10,5100,17,699.99,18.00,1,4,4,9.0,3.0,4.0,2.5,Android Phone/Xiaomi Mi 10,2,UPC004,EAN004,JAN004,ISBN004,MPN004,TRUE
5,SKU005,Feature phone,Nokia 3310,6000,17,49.99,5.00,2,4,5,12.0,1.5,2.5,1.8,Feature phone/Nokia 3310,3,UPC005,EAN005,JAN005,ISBN005,MPN005,TRUE
6,SKU006,Android Phone,OnePlus 8T,5200,17,749.99,18.00,1,4,6,7.9,2.8,3.1,2.2,Android Phone/OnePlus 8T,2,UPC006,EAN006,JAN006,ISBN006,MPN006,TRUE
7,SKU007,Android Phone,Huawei P30,5500,17,599.99,15.00,1,4,7,8.3,3.2,3.4,2.3,Android Phone/Huawei P30,3,UPC007,EAN007,JAN007,ISBN007,MPN007,FALSE
8,SKU008,Feature phone,Motorola Razr,6600,17,199.99,12.00,2,4,8,14.0,1.8,2.0,1.9,Feature phone/Motorola Razr,4,UPC008,EAN008,JAN008,ISBN008,MPN008,TRUE
9,SKU009,Android Phone,Google Pixel 5,5700,17,699.99,18.00,1,4,9,8.7,2.9,3.6,2.1,Android Phone/Google Pixel 5,3,UPC009,EAN009,JAN009,ISBN009,MPN009,FALSE
10,SKU010,Android Phone,Oppo Find X2,5800,17,599.99,16.00,1,4,10,9.2,3.1,3.8,2.4,Android Phone/Oppo Find X2,4,UPC010,EAN010,JAN010,ISBN010,MPN010,TRUE
