COMPANY_ID,COMPANY_NAME,COMPANY_EMAIL,COMPANY_ADDRESS,COMPANY_POSTCODE,COMPANY_CITY,COMPANY_COUNTRY,COMPANY_TIN,COMPANY_IBAN
1,Pixonyx,rshitliff0@creativecommons.org,07045 Fordem Lane,3,1,1,4422424548,FR89 8196 3491 72WV EAVN YCSC L79
2,Bluezoom,mhugh1@imgur.com,892 Mayer Way,426,2,2,1376533383,BE26 2245 6151 6479
3,Meejo,jlerwell2@google.ru,25554 Lakewood Court,8082,3,3,8988531442,CZ04 4510 1033 7256 7313 7576
4,Photobug,tfranciottoi3@constantcontact.com,5 Ryan Avenue,1,4,4,0341115320,NO17 1598 8009 796
5,Gabtune,kabdee4@vk.com,32 Warrior Plaza,111,5,5,2577878818,SA13 209X JTMT PK8S LRLH UNGI
6,Quinu,jmolesworth5@admin.ch,17 Farragut Lane,08829,6,6,0874755050,IE84 NXTN 2065 0588 4959 84
7,Kazu,ccaller6@mtv.com,1435 Hagan Center,1230,7,7,3178590595,ME64 2943 2225 0316 2487 87
8,Dynabox,botley7@slashdot.org,35576 Shasta Junction,2534,8,8,3838160924,PL96 6401 4862 0242 9917 3258 9290
9,Cogidoo,tballham8@alexa.com,14 Arizona Circle,3057,9,9,0335938671,FR93 0312 9518 804U AG1X C0PW H54
10,Innotype,ahudleston9@phoca.cz,8 Nevada Pass,47,10,10,6095593204,SM31 K542 4758 680L GZQS BB85 C4T
